id,age_group,occupation,income,preference,frequency,price_sensitivity,brand_preference,brand_loyalty,persona_description
231,45-54,Service/Blue,8195,Specialty,Medium,Medium,Yongbo,0.78,你是一名45-54岁的Service/Blue，生活在上海。月收入约8195元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.78。
232,25-34,White Collar,16800,Americano,High,Medium,Manner,0.51,你是一名25-34岁的White Collar，生活在上海。月收入约16800元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Manner Coffee有一定偏好，品牌忠诚度约0.51。
233,25-34,White Collar,12774,Americano,High,Medium,Yongbo,0.37,你是一名25-34岁的White Collar，生活在上海。月收入约12774元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.37。
234,18-24,Student,4651,Specialty,Medium,High,Luckin,0.51,你是一名18-24岁的Student，生活在上海。月收入约4651元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.51。
235,65+,Retired,9809,Americano,Low,Medium,Luckin,0.73,你是一名65+岁的Retired，生活在上海。月收入约9809元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.73。
236,55-64,Tech/Finance,17915,Latte,High,Medium,Luckin,0.69,你是一名55-64岁的Tech/Finance，生活在上海。月收入约17915元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.69。
237,35-44,Service/Blue,8607,Latte,Medium,Medium,Seesaw,0.63,你是一名35-44岁的Service/Blue，生活在上海。月收入约8607元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.63。
238,35-44,Tech/Finance,32986,Latte,High,Low,Starbucks,0.37,你是一名35-44岁的Tech/Finance，生活在上海。月收入约32986元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对星巴克有一定偏好，品牌忠诚度约0.37。
239,35-44,White Collar,10606,Americano,High,Medium,Nowwa,0.65,你是一名35-44岁的White Collar，生活在上海。月收入约10606元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.65。
240,25-34,Service/Blue,7757,Americano,High,High,Luckin,0.41,你是一名25-34岁的Service/Blue，生活在上海。月收入约7757元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.41。
241,35-44,Tech/Finance,23674,Latte,High,Medium,Seesaw,0.22,你是一名35-44岁的Tech/Finance，生活在上海。月收入约23674元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.22。
242,45-54,White Collar,12072,Americano,High,Medium,Luckin,0.56,你是一名45-54岁的White Collar，生活在上海。月收入约12072元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.56。
243,45-54,Tech/Finance,25402,Latte,High,Low,Yongbo,0.8,你是一名45-54岁的Tech/Finance，生活在上海。月收入约25402元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对永璞咖啡有一定偏好，品牌忠诚度约0.8。
244,65+,Retired,5294,Tea,Low,High,Arabica,0.42,你是一名65+岁的Retired，生活在上海。月收入约5294元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对%ARABICA有一定偏好，品牌忠诚度约0.42。
245,45-54,Freelance,8431,Americano,Medium,Medium,Nowwa,0.42,你是一名45-54岁的Freelance，生活在上海。月收入约8431元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.42。
246,25-34,Freelance,10506,Specialty,High,Medium,Arabica,0.45,你是一名25-34岁的Freelance，生活在上海。月收入约10506元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对%ARABICA有一定偏好，品牌忠诚度约0.45。
247,35-44,Tech/Finance,15401,Americano,High,Medium,Luckin,0.73,你是一名35-44岁的Tech/Finance，生活在上海。月收入约15401元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.73。
248,65+,Tech/Finance,18302,Americano,High,Medium,Luckin,0.73,你是一名65+岁的Tech/Finance，生活在上海。月收入约18302元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.73。
249,25-34,Freelance,5376,Americano,High,High,Starbucks,0.67,你是一名25-34岁的Freelance，生活在上海。月收入约5376元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.67。
250,45-54,Service/Blue,10534,Latte,Medium,Medium,Luckin,0.29,你是一名45-54岁的Service/Blue，生活在上海。月收入约10534元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.29。
251,45-54,White Collar,18815,Latte,High,Medium,Luckin,0.79,你是一名45-54岁的White Collar，生活在上海。月收入约18815元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.79。
252,25-34,White Collar,10547,Specialty,High,Medium,Starbucks,0.39,你是一名25-34岁的White Collar，生活在上海。月收入约10547元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.39。
253,45-54,Freelance,24837,Latte,Medium,Medium,Luckin,0.26,你是一名45-54岁的Freelance，生活在上海。月收入约24837元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.26。
254,35-44,Service/Blue,7427,Latte,Medium,High,Nowwa,0.25,你是一名35-44岁的Service/Blue，生活在上海。月收入约7427元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.25。
255,55-64,White Collar,8783,Americano,High,Medium,Luckin,0.32,你是一名55-64岁的White Collar，生活在上海。月收入约8783元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.32。
256,25-34,Service/Blue,4699,Americano,High,High,Manner,0.62,你是一名25-34岁的Service/Blue，生活在上海。月收入约4699元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.62。
257,25-34,Freelance,12778,Latte,High,Medium,Starbucks,0.32,你是一名25-34岁的Freelance，生活在上海。月收入约12778元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.32。
258,35-44,White Collar,10832,Latte,High,Medium,Starbucks,0.53,你是一名35-44岁的White Collar，生活在上海。月收入约10832元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.53。
259,65+,Retired,5881,Tea,Low,High,PiYe,0.41,你是一名65+岁的Retired，生活在上海。月收入约5881元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对皮爷咖啡有一定偏好，品牌忠诚度约0.41。
260,65+,Retired,8786,Americano,Low,Medium,Starbucks,0.36,你是一名65+岁的Retired，生活在上海。月收入约8786元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.36。
261,45-54,Service/Blue,6030,Specialty,Medium,High,Yongbo,0.31,你是一名45-54岁的Service/Blue，生活在上海。月收入约6030元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.31。
262,25-34,Tech/Finance,24303,Latte,High,Medium,Luckin,0.53,你是一名25-34岁的Tech/Finance，生活在上海。月收入约24303元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.53。
263,18-24,Freelance,8777,Latte,Medium,Medium,Luckin,0.58,你是一名18-24岁的Freelance，生活在上海。月收入约8777元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.58。
264,65+,Retired,8813,Americano,Low,Medium,Luckin,0.79,你是一名65+岁的Retired，生活在上海。月收入约8813元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.79。
265,35-44,White Collar,10943,Americano,High,Medium,Starbucks,0.74,你是一名35-44岁的White Collar，生活在上海。月收入约10943元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.74。
266,25-34,Service/Blue,7901,Specialty,High,High,Luckin,0.6,你是一名25-34岁的Service/Blue，生活在上海。月收入约7901元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.6。
267,35-44,White Collar,12806,Latte,High,Medium,Starbucks,0.3,你是一名35-44岁的White Collar，生活在上海。月收入约12806元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.3。
268,25-34,Service/Blue,6881,Latte,High,High,Manner,0.42,你是一名25-34岁的Service/Blue，生活在上海。月收入约6881元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.42。
269,25-34,White Collar,14002,Latte,High,Medium,Nowwa,0.31,你是一名25-34岁的White Collar，生活在上海。月收入约14002元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.31。
270,25-34,White Collar,8801,Latte,High,Medium,Starbucks,0.38,你是一名25-34岁的White Collar，生活在上海。月收入约8801元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.38。
271,25-34,Student,2218,Specialty,High,High,Luckin,0.25,你是一名25-34岁的Student，生活在上海。月收入约2218元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.25。
272,45-54,Service/Blue,6286,Specialty,Medium,High,Luckin,0.77,你是一名45-54岁的Service/Blue，生活在上海。月收入约6286元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.77。
273,45-54,Service/Blue,6968,Americano,Medium,High,Starbucks,0.26,你是一名45-54岁的Service/Blue，生活在上海。月收入约6968元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.26。
274,25-34,Student,2042,Latte,High,High,Luckin,0.76,你是一名25-34岁的Student，生活在上海。月收入约2042元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.76。
275,25-34,Freelance,19374,Specialty,High,Medium,Nowwa,0.33,你是一名25-34岁的Freelance，生活在上海。月收入约19374元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.33。
276,35-44,Tech/Finance,19418,Americano,High,Medium,Yongbo,0.43,你是一名35-44岁的Tech/Finance，生活在上海。月收入约19418元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.43。
277,25-34,Tech/Finance,20893,Americano,High,Medium,Starbucks,0.67,你是一名25-34岁的Tech/Finance，生活在上海。月收入约20893元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.67。
278,18-24,Student,1708,Specialty,Medium,High,Luckin,0.67,你是一名18-24岁的Student，生活在上海。月收入约1708元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.67。
279,65+,Retired,5079,Americano,Low,High,Luckin,0.75,你是一名65+岁的Retired，生活在上海。月收入约5079元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.75。
280,25-34,Tech/Finance,28919,Latte,High,Low,Luckin,0.72,你是一名25-34岁的Tech/Finance，生活在上海。月收入约28919元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.72。
281,65+,Retired,2410,Americano,Low,High,Luckin,0.72,你是一名65+岁的Retired，生活在上海。月收入约2410元。你对咖啡的需求频率是Low。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.72。
282,18-24,Service/Blue,7797,Latte,Medium,High,Tims,0.47,你是一名18-24岁的Service/Blue，生活在上海。月收入约7797元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对Tims 天好咖啡有一定偏好，品牌忠诚度约0.47。
283,25-34,Service/Blue,6930,Specialty,High,High,Luckin,0.31,你是一名25-34岁的Service/Blue，生活在上海。月收入约6930元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.31。
284,25-34,White Collar,17842,Latte,High,Medium,Tims,0.59,你是一名25-34岁的White Collar，生活在上海。月收入约17842元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Tims 天好咖啡有一定偏好，品牌忠诚度约0.59。
285,18-24,Student,4225,Latte,Medium,High,Luckin,0.27,你是一名18-24岁的Student，生活在上海。月收入约4225元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.27。
286,45-54,Service/Blue,6710,Americano,Medium,High,Manner,0.37,你是一名45-54岁的Service/Blue，生活在上海。月收入约6710元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对Manner Coffee有一定偏好，品牌忠诚度约0.37。
287,45-54,White Collar,23444,Americano,High,Medium,Starbucks,0.49,你是一名45-54岁的White Collar，生活在上海。月收入约23444元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.49。
288,65+,Retired,4147,Tea,Low,High,Luckin,0.2,你是一名65+岁的Retired，生活在上海。月收入约4147元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.2。
289,45-54,Freelance,5634,Americano,Medium,High,Nowwa,0.58,你是一名45-54岁的Freelance，生活在上海。月收入约5634元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.58。
290,45-54,Service/Blue,8506,Latte,Medium,Medium,Luckin,0.52,你是一名45-54岁的Service/Blue，生活在上海。月收入约8506元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.52。
291,25-34,White Collar,16475,Americano,High,Medium,Nowwa,0.78,你是一名25-34岁的White Collar，生活在上海。月收入约16475元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.78。
292,35-44,Tech/Finance,23213,Americano,High,Medium,Luckin,0.61,你是一名35-44岁的Tech/Finance，生活在上海。月收入约23213元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.61。
293,65+,Retired,9970,Tea,Low,Medium,Seesaw,0.41,你是一名65+岁的Retired，生活在上海。月收入约9970元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对Seesaw Coffee有一定偏好，品牌忠诚度约0.41。
294,18-24,White Collar,11779,Specialty,High,Medium,Luckin,0.21,你是一名18-24岁的White Collar，生活在上海。月收入约11779元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.21。
295,45-54,Service/Blue,5830,Latte,Medium,High,MStand,0.44,你是一名45-54岁的Service/Blue，生活在上海。月收入约5830元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对M Stand有一定偏好，品牌忠诚度约0.44。
296,25-34,White Collar,7175,Americano,High,High,Luckin,0.67,你是一名25-34岁的White Collar，生活在上海。月收入约7175元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.67。
297,35-44,Service/Blue,6711,Specialty,Medium,High,Luckin,0.71,你是一名35-44岁的Service/Blue，生活在上海。月收入约6711元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.71。
298,65+,Freelance,20107,Tea,Medium,Medium,Luckin,0.29,你是一名65+岁的Freelance，生活在上海。月收入约20107元。你对咖啡的需求频率是Medium。你最喜欢的口味是Tea。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.29。
299,35-44,Freelance,9200,Latte,Medium,Medium,Starbucks,0.5,你是一名35-44岁的Freelance，生活在上海。月收入约9200元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.5。
300,35-44,White Collar,12162,Americano,High,Medium,Tims,0.69,你是一名35-44岁的White Collar，生活在上海。月收入约12162元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Tims 天好咖啡有一定偏好，品牌忠诚度约0.69。
301,35-44,White Collar,11093,Specialty,High,Medium,Luckin,0.79,你是一名35-44岁的White Collar，生活在上海。月收入约11093元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.79。
302,45-54,Service/Blue,7901,Specialty,Medium,High,Yongbo,0.47,你是一名45-54岁的Service/Blue，生活在上海。月收入约7901元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.47。
303,45-54,White Collar,9410,Americano,High,Medium,Luckin,0.61,你是一名45-54岁的White Collar，生活在上海。月收入约9410元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.61。
304,35-44,White Collar,6609,Specialty,High,High,Luckin,0.3,你是一名35-44岁的White Collar，生活在上海。月收入约6609元。你对咖啡的需求频率是High。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.3。
305,45-54,Tech/Finance,25587,Latte,High,Low,Luckin,0.67,你是一名45-54岁的Tech/Finance，生活在上海。月收入约25587元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Low。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.67。
306,35-44,Tech/Finance,15579,Latte,High,Medium,Starbucks,0.69,你是一名35-44岁的Tech/Finance，生活在上海。月收入约15579元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.69。
307,55-64,Retired,6130,Tea,Low,High,Luckin,0.22,你是一名55-64岁的Retired，生活在上海。月收入约6130元。你对咖啡的需求频率是Low。你最喜欢的口味是Tea。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.22。
308,18-24,Student,1995,Latte,Medium,High,Luckin,0.62,你是一名18-24岁的Student，生活在上海。月收入约1995元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.62。
309,45-54,Tech/Finance,24869,Latte,High,Medium,Manner,0.73,你是一名45-54岁的Tech/Finance，生活在上海。月收入约24869元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Manner Coffee有一定偏好，品牌忠诚度约0.73。
310,18-24,Student,4392,Specialty,Medium,High,MStand,0.32,你是一名18-24岁的Student，生活在上海。月收入约4392元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于High。你对M Stand有一定偏好，品牌忠诚度约0.32。
311,25-34,Tech/Finance,13259,Latte,High,Medium,Luckin,0.74,你是一名25-34岁的Tech/Finance，生活在上海。月收入约13259元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.74。
312,25-34,Tech/Finance,15666,Latte,High,Medium,Starbucks,0.43,你是一名25-34岁的Tech/Finance，生活在上海。月收入约15666元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.43。
313,25-34,Tech/Finance,24313,Americano,High,Medium,Yongbo,0.54,你是一名25-34岁的Tech/Finance，生活在上海。月收入约24313元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.54。
314,35-44,Service/Blue,8855,Specialty,Medium,Medium,Yongbo,0.77,你是一名35-44岁的Service/Blue，生活在上海。月收入约8855元。你对咖啡的需求频率是Medium。你最喜欢的口味是Specialty。在价格方面，你的敏感度属于Medium。你对永璞咖啡有一定偏好，品牌忠诚度约0.77。
315,18-24,White Collar,12496,Latte,High,Medium,Luckin,0.69,你是一名18-24岁的White Collar，生活在上海。月收入约12496元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.69。
316,65+,Tech/Finance,20931,Americano,High,Medium,Tims,0.54,你是一名65+岁的Tech/Finance，生活在上海。月收入约20931元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Tims 天好咖啡有一定偏好，品牌忠诚度约0.54。
317,25-34,White Collar,13882,Americano,High,Medium,Nowwa,0.44,你是一名25-34岁的White Collar，生活在上海。月收入约13882元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对Nowwa 挪瓦咖啡有一定偏好，品牌忠诚度约0.44。
318,55-64,Tech/Finance,20427,Americano,High,Medium,Luckin,0.33,你是一名55-64岁的Tech/Finance，生活在上海。月收入约20427元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.33。
319,45-54,Freelance,10095,Latte,Medium,Medium,Starbucks,0.44,你是一名45-54岁的Freelance，生活在上海。月收入约10095元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.44。
320,35-44,Service/Blue,7906,Latte,Medium,High,Starbucks,0.29,你是一名35-44岁的Service/Blue，生活在上海。月收入约7906元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对星巴克有一定偏好，品牌忠诚度约0.29。
321,25-34,White Collar,11630,Latte,High,Medium,Luckin,0.35,你是一名25-34岁的White Collar，生活在上海。月收入约11630元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.35。
322,25-34,Service/Blue,7368,Americano,High,High,Yongbo,0.58,你是一名25-34岁的Service/Blue，生活在上海。月收入约7368元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于High。你对永璞咖啡有一定偏好，品牌忠诚度约0.58。
323,25-34,White Collar,16221,Latte,High,Medium,Arabica,0.24,你是一名25-34岁的White Collar，生活在上海。月收入约16221元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对%ARABICA有一定偏好，品牌忠诚度约0.24。
324,55-64,Freelance,22721,Americano,Medium,Medium,Luckin,0.34,你是一名55-64岁的Freelance，生活在上海。月收入约22721元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.34。
325,45-54,Service/Blue,8167,Americano,Medium,Medium,Luckin,0.65,你是一名45-54岁的Service/Blue，生活在上海。月收入约8167元。你对咖啡的需求频率是Medium。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对瑞幸咖啡有一定偏好，品牌忠诚度约0.65。
326,35-44,Freelance,2374,Latte,Medium,High,PiYe,0.79,你是一名35-44岁的Freelance，生活在上海。月收入约2374元。你对咖啡的需求频率是Medium。你最喜欢的口味是Latte。在价格方面，你的敏感度属于High。你对皮爷咖啡有一定偏好，品牌忠诚度约0.79。
327,18-24,White Collar,13205,Latte,High,Medium,Manner,0.47,你是一名18-24岁的White Collar，生活在上海。月收入约13205元。你对咖啡的需求频率是High。你最喜欢的口味是Latte。在价格方面，你的敏感度属于Medium。你对Manner Coffee有一定偏好，品牌忠诚度约0.47。
328,25-34,White Collar,10095,Americano,High,Medium,Starbucks,0.68,你是一名25-34岁的White Collar，生活在上海。月收入约10095元。你对咖啡的需求频率是High。你最喜欢的口味是Americano。在价格方面，你的敏感度属于Medium。你对星巴克有一定偏好，品牌忠诚度约0.68。
